,0,tiempo,it,estado,estado_observado,actividad,sintomas
"('susceptible', 'susceptible', 'trabajo', False)",49,19,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,19,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,19,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,20,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,20,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,20,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,21,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,21,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,21,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,22,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,22,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,22,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,23,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,23,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,23,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,24,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,24,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,24,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,25,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,25,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,25,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,26,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,26,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,26,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,27,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,27,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,27,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,28,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,28,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,28,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,29,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,29,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,29,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,30,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,30,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,30,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,31,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,31,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,31,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,32,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,32,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,32,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,33,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,33,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,33,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,34,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,34,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,34,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,35,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,35,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,35,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,36,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,36,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,36,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,37,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,37,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,37,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,38,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,38,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,38,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,39,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,39,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,39,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,40,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,40,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,40,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,41,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,41,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,41,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,42,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,42,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,42,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",49,43,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,43,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,43,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,44,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,44,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,44,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,45,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,45,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,45,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,46,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,46,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,46,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,47,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,47,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,47,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,48,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,48,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,48,0,susceptible,susceptible,cuarentena,False
