,0,tiempo,it,estado,estado_observado,actividad,sintomas
"('susceptible', 'susceptible', 'trabajo', False)",100,0,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,0,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",100,1,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,1,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",100,2,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,2,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",100,3,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,3,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",100,4,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,4,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",100,5,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,5,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",100,6,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,6,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",100,7,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,7,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",100,8,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,8,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",100,9,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,9,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",100,10,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,10,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",100,11,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,11,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",100,12,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,12,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",100,13,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,13,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",100,14,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,14,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",100,15,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,15,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",100,16,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,16,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",100,17,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,17,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",99,18,0,susceptible,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",1,18,0,expuesto,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,18,0,infeccioso,susceptible,trabajo,False
