,0,tiempo,it,estado,estado_observado,actividad,sintomas
"('susceptible', 'susceptible', 'trabajo', False)",89,0,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",11,0,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",45,1,0,susceptible,susceptible,cuarentena,False
"('infeccioso', 'susceptible', 'cuarentena', False)",5,1,0,infeccioso,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",44,1,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",6,1,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",45,2,0,susceptible,susceptible,cuarentena,False
"('infeccioso', 'susceptible', 'cuarentena', False)",5,2,0,infeccioso,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",44,2,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",5,2,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', True)",1,2,0,infeccioso,susceptible,trabajo,True
"('susceptible', 'susceptible', 'cuarentena', False)",45,3,0,susceptible,susceptible,cuarentena,False
"('infeccioso', 'susceptible', 'cuarentena', False)",5,3,0,infeccioso,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",43,3,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",6,3,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",1,3,0,infeccioso,infeccioso,cuarentena,True
"('susceptible', 'susceptible', 'cuarentena', False)",45,4,0,susceptible,susceptible,cuarentena,False
"('infeccioso', 'susceptible', 'cuarentena', False)",5,4,0,infeccioso,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",43,4,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",4,4,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', True)",2,4,0,infeccioso,susceptible,trabajo,True
"('infeccioso', 'infeccioso', 'cuarentena', True)",1,4,0,infeccioso,infeccioso,cuarentena,True
"('susceptible', 'susceptible', 'cuarentena', False)",45,5,0,susceptible,susceptible,cuarentena,False
"('infeccioso', 'susceptible', 'cuarentena', False)",5,5,0,infeccioso,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",42,5,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",4,5,0,infeccioso,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",1,5,0,expuesto,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",3,5,0,infeccioso,infeccioso,cuarentena,True
"('susceptible', 'susceptible', 'cuarentena', False)",45,6,0,susceptible,susceptible,cuarentena,False
"('infeccioso', 'susceptible', 'cuarentena', False)",5,6,0,infeccioso,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",42,6,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",5,6,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",3,6,0,infeccioso,infeccioso,cuarentena,True
"('susceptible', 'susceptible', 'cuarentena', False)",45,7,0,susceptible,susceptible,cuarentena,False
"('infeccioso', 'susceptible', 'cuarentena', False)",5,7,0,infeccioso,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",42,7,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",5,7,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",3,7,0,infeccioso,infeccioso,cuarentena,True
"('susceptible', 'susceptible', 'cuarentena', False)",45,8,0,susceptible,susceptible,cuarentena,False
"('infeccioso', 'susceptible', 'cuarentena', False)",5,8,0,infeccioso,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",42,8,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",4,8,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",3,8,0,infeccioso,infeccioso,cuarentena,True
"('infeccioso', 'susceptible', 'trabajo', True)",1,8,0,infeccioso,susceptible,trabajo,True
"('susceptible', 'susceptible', 'cuarentena', False)",45,9,0,susceptible,susceptible,cuarentena,False
"('infeccioso', 'susceptible', 'cuarentena', False)",5,9,0,infeccioso,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",42,9,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",4,9,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",4,9,0,infeccioso,infeccioso,cuarentena,True
