,0,tiempo,it,estado,estado_observado,actividad,sintomas
"('recuperado', 'recuperado', 'trabajo', False)",1,141,5,recuperado,recuperado,trabajo,False
"('expuesto', 'infeccioso', 'cuarentena', False)",3,141,5,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",82,142,5,susceptible,susceptible,trabajo,False
"('expuesto', 'recuperado', 'trabajo', False)",11,142,5,expuesto,recuperado,trabajo,False
"('recuperado', 'recuperado', 'trabajo', False)",1,142,5,recuperado,recuperado,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,142,5,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",3,142,5,expuesto,infeccioso,cuarentena,False
"('expuesto', 'susceptible', 'trabajo', False)",1,142,5,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",82,143,5,susceptible,susceptible,trabajo,False
"('expuesto', 'recuperado', 'trabajo', False)",11,143,5,expuesto,recuperado,trabajo,False
"('recuperado', 'recuperado', 'trabajo', False)",1,143,5,recuperado,recuperado,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,143,5,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",3,143,5,expuesto,infeccioso,cuarentena,False
"('expuesto', 'susceptible', 'trabajo', False)",1,143,5,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",82,144,5,susceptible,susceptible,trabajo,False
"('expuesto', 'recuperado', 'trabajo', False)",11,144,5,expuesto,recuperado,trabajo,False
"('recuperado', 'recuperado', 'trabajo', False)",1,144,5,recuperado,recuperado,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,144,5,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",3,144,5,expuesto,infeccioso,cuarentena,False
"('expuesto', 'susceptible', 'trabajo', False)",1,144,5,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",80,145,5,susceptible,susceptible,trabajo,False
"('expuesto', 'recuperado', 'trabajo', False)",11,145,5,expuesto,recuperado,trabajo,False
"('recuperado', 'recuperado', 'trabajo', False)",1,145,5,recuperado,recuperado,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,145,5,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",3,145,5,expuesto,infeccioso,cuarentena,False
"('expuesto', 'susceptible', 'trabajo', False)",1,145,5,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",80,146,5,susceptible,susceptible,trabajo,False
"('expuesto', 'recuperado', 'trabajo', False)",11,146,5,expuesto,recuperado,trabajo,False
"('recuperado', 'recuperado', 'trabajo', False)",1,146,5,recuperado,recuperado,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,146,5,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",3,146,5,expuesto,infeccioso,cuarentena,False
"('expuesto', 'susceptible', 'trabajo', False)",1,146,5,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",82,147,5,susceptible,susceptible,trabajo,False
"('expuesto', 'recuperado', 'trabajo', False)",11,147,5,expuesto,recuperado,trabajo,False
"('recuperado', 'recuperado', 'trabajo', False)",1,147,5,recuperado,recuperado,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,147,5,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",3,147,5,expuesto,infeccioso,cuarentena,False
"('expuesto', 'susceptible', 'trabajo', False)",1,147,5,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",81,148,5,susceptible,susceptible,trabajo,False
"('expuesto', 'recuperado', 'trabajo', False)",11,148,5,expuesto,recuperado,trabajo,False
"('recuperado', 'recuperado', 'trabajo', False)",1,148,5,recuperado,recuperado,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,148,5,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",3,148,5,expuesto,infeccioso,cuarentena,False
"('expuesto', 'susceptible', 'trabajo', False)",1,148,5,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",81,149,5,susceptible,susceptible,trabajo,False
"('expuesto', 'recuperado', 'trabajo', False)",11,149,5,expuesto,recuperado,trabajo,False
"('recuperado', 'recuperado', 'trabajo', False)",1,149,5,recuperado,recuperado,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,149,5,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",3,149,5,expuesto,infeccioso,cuarentena,False
"('expuesto', 'susceptible', 'trabajo', False)",1,149,5,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",83,150,5,susceptible,susceptible,trabajo,False
"('expuesto', 'recuperado', 'trabajo', False)",11,150,5,expuesto,recuperado,trabajo,False
"('recuperado', 'recuperado', 'trabajo', False)",1,150,5,recuperado,recuperado,trabajo,False
"('expuesto', 'infeccioso', 'cuarentena', False)",3,150,5,expuesto,infeccioso,cuarentena,False
"('expuesto', 'susceptible', 'trabajo', False)",1,150,5,expuesto,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",1,150,5,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",100,0,6,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",96,1,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,1,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,2,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,2,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,3,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,3,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",93,4,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,4,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",93,5,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,5,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",97,6,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,6,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",95,7,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",5,7,6,susceptible,infeccioso,cuarentena,False
