,0,tiempo,it,estado,estado_observado,actividad,sintomas
"('susceptible', 'susceptible', 'trabajo', False)",10,0,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,1,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,2,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,3,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,4,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,5,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,6,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,7,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,8,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,9,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,10,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,11,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,12,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,13,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,14,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,15,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,16,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,17,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,18,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,19,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,20,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,21,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,22,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,23,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,24,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,25,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,26,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,27,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,28,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,29,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,30,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,31,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,32,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,33,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,34,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,35,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,36,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,37,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,38,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,39,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,40,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,41,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,42,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,43,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,44,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,45,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,46,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,47,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,48,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,49,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,50,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,51,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,52,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,53,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,54,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,55,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,56,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,57,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,58,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,59,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,60,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,61,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,62,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,63,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,64,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,65,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,66,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,67,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,68,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,69,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,70,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,71,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,72,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,73,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,74,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,75,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,76,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,77,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,78,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,79,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,80,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,81,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,82,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,83,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,84,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,85,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,86,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,87,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,88,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,89,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,90,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,91,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,92,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,93,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,94,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,95,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,96,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,97,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,98,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,99,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,100,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,0,1,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,1,1,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,2,1,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,3,1,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,4,1,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,5,1,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,6,1,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,7,1,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,8,1,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,9,1,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,10,1,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",10,11,1,susceptible,susceptible,trabajo,False
