,0,tiempo,it,estado,estado_observado,actividad,sintomas
"('recuperado', 'susceptible', 'trabajo', False)",2,18,0,recuperado,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,18,0,infeccioso,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,19,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,19,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",2,19,0,recuperado,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,19,0,infeccioso,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,20,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,20,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",2,20,0,recuperado,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,20,0,infeccioso,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,21,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,21,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",2,21,0,recuperado,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",1,21,0,infeccioso,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,22,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,22,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,22,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,23,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,23,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,23,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,24,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,24,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,24,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,25,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,25,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,25,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,26,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,26,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,26,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,27,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,27,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,27,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,28,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,28,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,28,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,29,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,29,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,29,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,30,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,30,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,30,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,31,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,31,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,31,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,32,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,32,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,32,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,33,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,33,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,33,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,34,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,34,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,34,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,35,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,35,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,35,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,36,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,36,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,36,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,37,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,37,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,37,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,38,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,38,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,38,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,39,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,39,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,39,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,40,0,expuesto,susceptible,trabajo,False
