,0,tiempo,it,estado,estado_observado,actividad,sintomas
"('susceptible', 'susceptible', 'trabajo', False)",88,0,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",12,0,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",86,1,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",10,1,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,1,0,susceptible,infeccioso,cuarentena,False
"('infeccioso', 'infeccioso', 'cuarentena', False)",1,1,0,infeccioso,infeccioso,cuarentena,False
"('infeccioso', 'susceptible', 'trabajo', True)",1,1,0,infeccioso,susceptible,trabajo,True
"('susceptible', 'susceptible', 'trabajo', False)",85,2,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",10,2,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,2,0,susceptible,infeccioso,cuarentena,False
"('infeccioso', 'infeccioso', 'cuarentena', False)",1,2,0,infeccioso,infeccioso,cuarentena,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",1,2,0,infeccioso,infeccioso,cuarentena,True
"('expuesto', 'susceptible', 'trabajo', False)",1,2,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",82,3,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",10,3,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,3,0,susceptible,infeccioso,cuarentena,False
"('expuesto', 'susceptible', 'trabajo', False)",4,3,0,expuesto,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', False)",1,3,0,infeccioso,infeccioso,cuarentena,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",1,3,0,infeccioso,infeccioso,cuarentena,True
"('susceptible', 'susceptible', 'trabajo', False)",79,4,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', False)",3,4,0,infeccioso,infeccioso,cuarentena,False
"('expuesto', 'susceptible', 'trabajo', False)",6,4,0,expuesto,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,4,0,susceptible,infeccioso,cuarentena,False
"('infeccioso', 'susceptible', 'trabajo', False)",8,4,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",1,4,0,infeccioso,infeccioso,cuarentena,True
"('susceptible', 'susceptible', 'trabajo', False)",78,5,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', False)",3,5,0,infeccioso,infeccioso,cuarentena,False
"('expuesto', 'susceptible', 'trabajo', False)",6,5,0,expuesto,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,5,0,susceptible,infeccioso,cuarentena,False
"('infeccioso', 'susceptible', 'trabajo', False)",9,5,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",1,5,0,infeccioso,infeccioso,cuarentena,True
"('susceptible', 'susceptible', 'trabajo', False)",80,6,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', False)",3,6,0,infeccioso,infeccioso,cuarentena,False
"('infeccioso', 'susceptible', 'trabajo', False)",11,6,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",1,6,0,susceptible,infeccioso,cuarentena,False
"('expuesto', 'susceptible', 'trabajo', False)",4,6,0,expuesto,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",1,6,0,infeccioso,infeccioso,cuarentena,True
"('susceptible', 'susceptible', 'trabajo', False)",79,7,0,susceptible,susceptible,trabajo,False
"('recuperado', 'infeccioso', 'cuarentena', False)",1,7,0,recuperado,infeccioso,cuarentena,False
"('infeccioso', 'susceptible', 'trabajo', False)",10,7,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",1,7,0,susceptible,infeccioso,cuarentena,False
"('expuesto', 'susceptible', 'trabajo', False)",3,7,0,expuesto,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', False)",4,7,0,infeccioso,infeccioso,cuarentena,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",1,7,0,infeccioso,infeccioso,cuarentena,True
"('expuesto', 'infeccioso', 'cuarentena', False)",1,7,0,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",79,8,0,susceptible,susceptible,trabajo,False
"('recuperado', 'infeccioso', 'cuarentena', False)",1,8,0,recuperado,infeccioso,cuarentena,False
"('infeccioso', 'susceptible', 'trabajo', False)",11,8,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', False)",5,8,0,infeccioso,infeccioso,cuarentena,False
"('expuesto', 'susceptible', 'trabajo', False)",2,8,0,expuesto,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",1,8,0,infeccioso,infeccioso,cuarentena,True
"('expuesto', 'infeccioso', 'cuarentena', False)",1,8,0,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",78,9,0,susceptible,susceptible,trabajo,False
"('recuperado', 'infeccioso', 'cuarentena', False)",1,9,0,recuperado,infeccioso,cuarentena,False
"('infeccioso', 'susceptible', 'trabajo', False)",11,9,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', False)",6,9,0,infeccioso,infeccioso,cuarentena,False
"('expuesto', 'susceptible', 'trabajo', False)",3,9,0,expuesto,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",1,9,0,infeccioso,infeccioso,cuarentena,True
"('susceptible', 'susceptible', 'trabajo', False)",75,10,0,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,10,0,susceptible,infeccioso,cuarentena,False
"('recuperado', 'infeccioso', 'cuarentena', False)",1,10,0,recuperado,infeccioso,cuarentena,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",2,10,0,infeccioso,infeccioso,cuarentena,True
"('infeccioso', 'infeccioso', 'cuarentena', False)",11,10,0,infeccioso,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,10,0,expuesto,infeccioso,cuarentena,False
"('infeccioso', 'susceptible', 'trabajo', True)",1,10,0,infeccioso,susceptible,trabajo,True
