,0,tiempo,it,estado,estado_observado,actividad,sintomas
"('susceptible', 'susceptible', 'trabajo', False)",182,0,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",18,0,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",182,1,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",17,1,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', True)",1,1,0,infeccioso,susceptible,trabajo,True
"('susceptible', 'susceptible', 'trabajo', False)",181,2,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",17,2,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",1,2,0,infeccioso,infeccioso,cuarentena,True
"('expuesto', 'susceptible', 'trabajo', False)",1,2,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",180,3,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",18,3,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",1,3,0,infeccioso,infeccioso,cuarentena,True
"('expuesto', 'susceptible', 'trabajo', False)",1,3,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",178,4,0,susceptible,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",2,4,0,expuesto,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",19,4,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",1,4,0,infeccioso,infeccioso,cuarentena,True
"('susceptible', 'susceptible', 'trabajo', False)",178,5,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",18,5,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",1,5,0,infeccioso,infeccioso,cuarentena,True
"('expuesto', 'susceptible', 'trabajo', False)",1,5,0,expuesto,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', True)",2,5,0,infeccioso,susceptible,trabajo,True
"('susceptible', 'susceptible', 'trabajo', False)",178,6,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",18,6,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",3,6,0,infeccioso,infeccioso,cuarentena,True
"('expuesto', 'susceptible', 'trabajo', False)",1,6,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",177,7,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",19,7,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",3,7,0,infeccioso,infeccioso,cuarentena,True
"('expuesto', 'susceptible', 'trabajo', False)",1,7,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",177,8,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', True)",2,8,0,infeccioso,susceptible,trabajo,True
"('infeccioso', 'susceptible', 'trabajo', False)",16,8,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",3,8,0,infeccioso,infeccioso,cuarentena,True
"('expuesto', 'susceptible', 'trabajo', False)",1,8,0,expuesto,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,8,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",177,9,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",5,9,0,infeccioso,infeccioso,cuarentena,True
"('infeccioso', 'susceptible', 'trabajo', False)",16,9,0,infeccioso,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",1,9,0,expuesto,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,9,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",177,10,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",4,10,0,infeccioso,infeccioso,cuarentena,True
"('infeccioso', 'susceptible', 'trabajo', False)",16,10,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', False)",1,10,0,infeccioso,infeccioso,cuarentena,False
"('expuesto', 'susceptible', 'trabajo', False)",1,10,0,expuesto,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,10,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",176,11,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",4,11,0,infeccioso,infeccioso,cuarentena,True
"('infeccioso', 'susceptible', 'trabajo', False)",16,11,0,infeccioso,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",2,11,0,recuperado,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', False)",1,11,0,infeccioso,infeccioso,cuarentena,False
"('expuesto', 'susceptible', 'trabajo', False)",1,11,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",176,12,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",3,12,0,infeccioso,infeccioso,cuarentena,True
"('infeccioso', 'susceptible', 'trabajo', False)",16,12,0,infeccioso,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,12,0,recuperado,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', False)",2,12,0,infeccioso,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",175,13,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",3,13,0,infeccioso,infeccioso,cuarentena,True
"('infeccioso', 'susceptible', 'trabajo', False)",14,13,0,infeccioso,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",5,13,0,recuperado,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', False)",2,13,0,infeccioso,infeccioso,cuarentena,False
