,0,tiempo,it,estado,estado_observado,actividad,sintomas
"('susceptible', 'susceptible', 'trabajo', False)",179,0,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",21,0,0,infeccioso,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",178,1,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",20,1,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', True)",2,1,0,infeccioso,susceptible,trabajo,True
"('susceptible', 'susceptible', 'trabajo', False)",174,2,0,susceptible,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",2,2,0,expuesto,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",22,2,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",2,2,0,infeccioso,infeccioso,cuarentena,True
"('susceptible', 'susceptible', 'trabajo', False)",169,3,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",25,3,0,infeccioso,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",2,3,0,expuesto,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",2,3,0,infeccioso,infeccioso,cuarentena,True
"('infeccioso', 'susceptible', 'trabajo', True)",2,3,0,infeccioso,susceptible,trabajo,True
"('susceptible', 'susceptible', 'trabajo', False)",165,4,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",27,4,0,infeccioso,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', True)",3,4,0,infeccioso,susceptible,trabajo,True
"('expuesto', 'susceptible', 'trabajo', False)",1,4,0,expuesto,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",4,4,0,infeccioso,infeccioso,cuarentena,True
"('susceptible', 'susceptible', 'trabajo', False)",160,5,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",28,5,0,infeccioso,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",3,5,0,expuesto,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",7,5,0,infeccioso,infeccioso,cuarentena,True
"('infeccioso', 'susceptible', 'trabajo', True)",2,5,0,infeccioso,susceptible,trabajo,True
"('susceptible', 'susceptible', 'trabajo', False)",159,6,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",28,6,0,infeccioso,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",2,6,0,expuesto,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",9,6,0,infeccioso,infeccioso,cuarentena,True
"('infeccioso', 'susceptible', 'trabajo', True)",2,6,0,infeccioso,susceptible,trabajo,True
"('susceptible', 'susceptible', 'trabajo', False)",155,7,0,susceptible,susceptible,trabajo,False
"('infeccioso', 'susceptible', 'trabajo', False)",30,7,0,infeccioso,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",4,7,0,expuesto,susceptible,trabajo,False
"('infeccioso', 'infeccioso', 'cuarentena', True)",11,7,0,infeccioso,infeccioso,cuarentena,True
"('susceptible', 'susceptible', 'trabajo', False)",154,8,0,susceptible,susceptible,trabajo,False
