codigo,area_trabajo,tipo_turno,estado_inicial
JA240487,isla_maipo,12 Horas - Noche,random
JA271194,isla_maipo,12 Horas - Noche,random
JA291162,isla_maipo,Administrativo,random
JB181059,isla_maipo,Administrativo,random
JB220488,isla_maipo,12 Horas - Backup,random
JC141190,isla_maipo,12 Horas - Dia,random
JC160875,isla_maipo,Administrativo,random
JC190591,isla_maipo,Administrativo,random
JC220678,isla_maipo,Administrativo,random
JC290169,isla_maipo,Administrativo,random
JC311287,isla_maipo,12 Horas - Backup,random
JC80368,isla_maipo,12 Horas,random
JC80594,isla_maipo,12 Horas - Noche,random
JD190274,isla_maipo,12 Horas - Noche,random
JD21090,isla_maipo,12 Horas - Noche,random
JD270192,isla_maipo,Administrativo,random
JD281068,isla_maipo,Administrativo,random
JD80155,isla_maipo,Fuera de planta,random
JE230274,isla_maipo,Administrativo,random
JE241094,isla_maipo,12 Horas - Dia,random
JG211074,isla_maipo,12 Horas - Dia,random
JG280271,isla_maipo,Administrativo,random
JH240674,isla_maipo,Administrativo,random
JI120989,isla_maipo,12 Horas - Dia,random
JJ290888,isla_maipo,Administrativo,random
JL191066,isla_maipo,Administrativo,random
JL261092,isla_maipo,Administrativo,random
JL61279,isla_maipo,Administrativo,random
JM130373,isla_maipo,12 Horas - Noche,random
JM160792,isla_maipo,Administrativo,random
JM240679,isla_maipo,Administrativo,random
JM250990,isla_maipo,12 Horas - Noche,random
JM260286,isla_maipo,12 Horas - Dia,random
JM270762,isla_maipo,12 Horas,random
JN130881,isla_maipo,12 Horas - Backup,random
JO100692,isla_maipo,Fuera de planta,random
JO230193,isla_maipo,12 Horas - Backup,random
JP10992,isla_maipo,12 Horas - Noche,random
JP110473,isla_maipo,12 Horas,random
JP130289,isla_maipo,Administrativo,random
JP240488,isla_maipo,Administrativo,random
JP271180,isla_maipo,Administrativo,random
JP280100,isla_maipo,12 Horas - Dia,random
JP290463,isla_maipo,Administrativo,random
JS111062,isla_maipo,12 Horas - Noche,random
JS161088,isla_maipo,12 Horas - Dia,random
JS50366,isla_maipo,Administrativo,random
JS81250,isla_maipo,Administrativo,random
JV150573,isla_maipo,12 Horas - Backup,random
JV20167,isla_maipo,Administrativo,random
JV211195,isla_maipo,12 Horas,random
JV280681,isla_maipo,12 Horas - Noche,random
JV50277,isla_maipo,Administrativo,random
KA280801,isla_maipo,Administrativo,random
KA81297,isla_maipo,12 Horas - Dia,random
KB10587,isla_maipo,12 Horas - Noche,random
KR120491,isla_maipo,12 Horas - Dia,random
KR270786,isla_maipo,Administrativo,random
KS21286,isla_maipo,Fuera de planta,random
LA10466,isla_maipo,Administrativo,random
LA10680,isla_maipo,Administrativo,random
LA140748,isla_maipo,Administrativo,random
LB110462,isla_maipo,Administrativo,random
LB11165,isla_maipo,Administrativo,random
LB130993,isla_maipo,12 Horas - Noche,random
LC100590,isla_maipo,12 Horas,random
LC210473,isla_maipo,Administrativo,random
LC270376,isla_maipo,Administrativo,random
LD250779,isla_maipo,Administrativo,random
LE100858,isla_maipo,12 Horas - Backup,random
LE200970,isla_maipo,Administrativo,random
LE261152,isla_maipo,Administrativo,random
LG200299,isla_maipo,Administrativo,random
LH240561,isla_maipo,Administrativo,random
LJ20741,isla_maipo,Administrativo,random
LL150963,isla_maipo,Administrativo,random
LL160891,isla_maipo,Administrativo,random
LM300489,isla_maipo,Fuera de planta,random
LN60857,isla_maipo,Fuera de planta,random
LO240180,isla_maipo,Administrativo,random
LP140589,isla_maipo,12 Horas,random
LT280790,isla_maipo,Administrativo,random
LV220271,isla_maipo,12 Horas - Dia,random
MA110693,isla_maipo,Administrativo,random
MA210699,isla_maipo,12 Horas - Dia,random
MA50892,isla_maipo,Administrativo,random
MB10887,isla_maipo,Administrativo,random
MB170291,isla_maipo,Administrativo,random
MC130169,isla_maipo,Administrativo,random
MC200193,isla_maipo,12 Horas - Backup,random
MC20557,isla_maipo,Administrativo,random
