codigo;area_trabajo;tipo_turno
JM160792;Operación Enología;Administrativo
JM240679;Agrícola;Administrativo
JM250990;Recursos Humanos;12 horas - Noche
JM260286;Industrial;12 horas - Día 
JM270762;Portería;12 Horas
JN130881;Industrial;12 horas - Backup
JO100692;Industrial;Fuera de planta
JO230193;Operación Enología;12 horas - Backup
JP10992;Operación Enología;12 horas - Noche
JP110473;Portería;12 Horas
JP130289;Planta General ;Administrativo
JP240488;Administración;Administrativo
JP271180;Transporte ;Administrativo
JP280100;Industrial;12 horas - Día 
JP290463;Agrícola;Administrativo
JS111062;Industrial;12 horas - Noche
JS161088;Envasado;12 horas - Día 
JS50366;Industrial;Administrativo
JS81250;Operación Enología;Administrativo
JV150573;Industrial;12 horas - Backup
JV20167;Planta General ;Administrativo
JV211195;Industrial;12 Horas
JV280681;Industrial;12 horas - Licencia 
JV50277;Industrial;Administrativo
KA280801;Administración;Administrativo
KA81297;Administración;12 horas - Día
KB10587;Logística;12 horas - Noche
KR120491;Industrial;12 horas - Día 
KR270786;Administración;Administrativo
KS21286;Industrial;Fuera de planta
LA10466;Industrial;Administrativo
LA10680;Industrial;Administrativo
LA140748;Transporte ;Administrativo
LB110462;Envasado;Administrativo
LB11165;N/A;Administrativo
LB130993;Planta General ;12 horas - Noche
LC100590;Industrial;12 Horas
LC210473;Industrial;Administrativo
LC270376;Industrial;Administrativo
LD250779;Industrial;Administrativo
LE100858;Logística;12 horas - Cuarentena 
LE200970;Agrícola;Administrativo
LE261152;Operación Enología;Administrativo
LG200299;Industrial;Administrativo
LH240561;Gcia. Asuntos Corporativos;Administrativo
LJ20741;Transporte ;Administrativo
LL150963;Operación Enología;Administrativo
LL160891;Vendimia;Administrativo
LM300489;Industrial;Fuera de planta
LN60857;Operación Enología;Fuera de planta
LO240180;Operación Enología;Administrativo
LP140589;Portería;12 Horas
LT280790;Operación Enología;Administrativo
LV220271;Logística;12 horas - Día 
MA110693;Portería;Administrativo
MA210699;Operación Enología;12 horas - Día 
MA50892;Operación Enología;Administrativo
MB10887;Administración;Administrativo
MB170291;Industrial;Administrativo
MC130169;Gcia. Asuntos Corporativos;Administrativo
MC200193;Industrial;12 horas - Backup
MC20557;Administración;Administrativo
MC40283;Operación Enología;Administrativo
ME280565;Industrial;Administrativo
MG10163;Gcia. Asuntos Corporativos;Administrativo
MG10663;Agrícola;Administrativo
MG130296;Industrial;Administrativo
MG180693;Administración;Fuera de planta
MG20278;Industrial;Administrativo
MG300663;Industrial;Administrativo
MG61164;N/A;Administrativo
MH190364;Agrícola;Administrativo
ML11063;Agrícola;Administrativo
ML130262;BPR;12 horas - Día 
ML131293;Industrial;Administrativo
ML160187;Operación Enología;Administrativo
ML241162;Agrícola;Administrativo
ML280893;Industrial;12 horas - Backup
MM120583;Operación Enología;Administrativo
MM170284;Operación Enología;Administrativo
MM20481;Industrial;Administrativo
MM20564;Operación Enología;12 horas - Backup
MM271257;BPR;12 horas - Noche
MN181061;Agrícola;Administrativo
MO50682;Planta General ;Administrativo
MP10286;Operación Enología;12 horas - Día 
MP41094;Casino ;Administrativo
MR180668;Planta General ;Administrativo
MR40871;Operación Enología;12 horas - Backup
MR81196;Administración;12 horas - Día
MS180784;Administración;Administrativo
MS301080;Operación Enología;Administrativo
MS80369;Agrícola;Administrativo
MS80978;Recursos Humanos;Administrativo
MS90359;Operación Enología;Administrativo
MU90574;Industrial;12 Horas
MV100487;Planta General ;Administrativo
MV121189;Operación Enología;Administrativo
MV170990;Administración;Administrativo
MV271069;Operación Enología;Administrativo
NC230873;Industrial;Administrativo
