9.899999999999999911e-01,0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00
9.899929600000000329e-01,7.040000000000001206e-06,9.995555555555556138e-03,4.444444444444444996e-06
9.899859231789288616e-01,1.405335440447210078e-05,9.991136553086419833e-03,8.886913580246913615e-06
9.899788895188086357e-01,2.104017001004937186e-05,9.986742892466395766e-03,1.332741871495198921e-05
9.899718590017323461e-01,2.800055318634919892e-05,9.982374473969777076e-03,1.776597111160371908e-05
9.899648316098637046e-01,3.493460987768166946e-05,9.978031198269744426e-03,2.220258198892362180e-05
9.899578073254370336e-01,4.184244560475114042e-05,9.973712966436771785e-03,2.663726252148795260e-05
9.899507861307567103e-01,4.872416546635096473e-05,9.969419679937037426e-03,3.107002383990429282e-05
9.899437680081971669e-01,5.557987414105147218e-05,9.965151240630841858e-03,3.550087703098742098e-05
9.899367529402022248e-01,6.240967588888115018e-05,9.960907550771030960e-03,3.992983313793445896e-05
9.899297409092850941e-01,6.921367455300110594e-05,9.956688513001429527e-03,4.435690316049936411e-05
9.899227318980282631e-01,7.599197356137284728e-05,9.952494030355273080e-03,4.878209805516666928e-05
9.899157258890827205e-01,8.274467592841937519e-05,9.948324006253653554e-03,5.320542873532456890e-05
9.899087228651680670e-01,8.947188425667958146e-05,9.944178344503968453e-03,5.762690607143730040e-05
9.899017228090720710e-01,9.617370073845607340e-05,9.940056949298378686e-03,6.204654089121684789e-05
9.898947257036505576e-01,1.028502271574564255e-04,9.935959725212262922e-03,6.646434397979390058e-05
9.898877315318270753e-01,1.095015648904277633e-04,9.931886577202692773e-03,7.088032607988824186e-05
9.898807402765924524e-01,1.161278149087848827e-04,9.927837410606904500e-03,7.529449789197832535e-05
9.898737519210046854e-01,1.227290777802318505e-04,9.923812131140775927e-03,7.970687007447028842e-05
9.898667664481886064e-01,1.293054536703770318e-04,9.919810644897313762e-03,8.411745324386619331e-05
9.898597838413357719e-01,1.358570423443417887e-04,9.915832858345149589e-03,8.852625797493167187e-05
9.898528040837039077e-01,1.423839431683625789e-04,9.911878678327032399e-03,9.293329480086285200e-05
9.898458271586170198e-01,1.488862551113867788e-04,9.907948012058336723e-03,9.733857421345264724e-05
9.898388530494647286e-01,1.553640767466620432e-04,9.904040767125570771e-03,1.017421066632563550e-04
9.898318817397022684e-01,1.618175062533192671e-04,9.900156851484893245e-03,1.061439025597566045e-04
9.898249132128501548e-01,1.682466414179493682e-04,9.896296173460633616e-03,1.105439722715276674e-04
9.898179474524938515e-01,1.746515796361735099e-04,9.892458641743822820e-03,1.149423261263990642e-04
9.898109844422836590e-01,1.810324179142072795e-04,9.888644165390723939e-03,1.193389744116185467e-04
9.898040241659343819e-01,1.873892528704184702e-04,9.884852653821375040e-03,1.237339273740144165e-04
9.897970666072249957e-01,1.937221807368786556e-04,9.881084016818133739e-03,1.281271952201572478e-04
9.897901117499985357e-01,2.000312973609085301e-04,9.877338164524226971e-03,1.325187881165208639e-04
9.897831595781616532e-01,2.063166982066171236e-04,9.873615007442307703e-03,1.369087161896427314e-04
9.897762100756845038e-01,2.125784783564347820e-04,9.869914456433022051e-03,1.412969895262837581e-04
9.897692632266004154e-01,2.188167325126400768e-04,9.866236422713572929e-03,1.456836181735873185e-04
9.897623190150057759e-01,2.250315549988805603e-04,9.862580817856297574e-03,1.500686121392377911e-04
9.897553774250595904e-01,2.312230397616873968e-04,9.858947553787246812e-03,1.544519813916183639e-04
9.897484384409833691e-01,2.373912803719840296e-04,9.855336542784769518e-03,1.588337358599682442e-04
9.897415020470609059e-01,2.435363700265887770e-04,9.851747697478105761e-03,1.632138854345392437e-04
9.897345682276377232e-01,2.496584015497112750e-04,9.848180930845981673e-03,1.675924399667517420e-04
9.897276369671211826e-01,2.557574673944431470e-04,9.844636156215216469e-03,1.719694092693499433e-04
9.897207082499800412e-01,2.618336596442426018e-04,9.841113287259324258e-03,1.763448031165567014e-04
9.897137820607443404e-01,2.678870700144130685e-04,9.837612237997134940e-03,1.807186312442275028e-04
