cantidad,tiempo,it,estado,estado_observado,actividad,sintomas
99,0,0,susceptible,susceptible,trabajo,False
1,0,0,infeccioso,susceptible,trabajo,False
99,1,0,susceptible,susceptible,trabajo,False
1,1,0,infeccioso,susceptible,trabajo,False
99,2,0,susceptible,susceptible,trabajo,False
1,2,0,infeccioso,susceptible,trabajo,True
99,3,0,susceptible,susceptible,trabajo,False
1,3,0,infeccioso,susceptible,trabajo,True
99,4,0,susceptible,susceptible,trabajo,False
1,4,0,infeccioso,susceptible,trabajo,True
99,5,0,susceptible,susceptible,trabajo,False
1,5,0,infeccioso,susceptible,trabajo,True
99,6,0,susceptible,susceptible,trabajo,False
1,6,0,infeccioso,susceptible,trabajo,True
99,7,0,susceptible,susceptible,trabajo,False
1,7,0,infeccioso,susceptible,trabajo,True
99,8,0,susceptible,susceptible,trabajo,False
1,8,0,infeccioso,susceptible,trabajo,True
99,9,0,susceptible,susceptible,trabajo,False
1,9,0,infeccioso,susceptible,trabajo,True
99,10,0,susceptible,susceptible,trabajo,False
1,10,0,infeccioso,susceptible,trabajo,False
98,11,0,susceptible,susceptible,trabajo,False
2,11,0,infeccioso,susceptible,trabajo,False
98,12,0,susceptible,susceptible,trabajo,False
2,12,0,infeccioso,susceptible,trabajo,False
98,13,0,susceptible,susceptible,trabajo,False
2,13,0,infeccioso,susceptible,trabajo,False
98,14,0,susceptible,susceptible,trabajo,False
2,14,0,infeccioso,susceptible,trabajo,False
98,15,0,susceptible,susceptible,trabajo,False
2,15,0,infeccioso,susceptible,trabajo,False
98,16,0,susceptible,susceptible,trabajo,False
2,16,0,infeccioso,susceptible,trabajo,False
98,17,0,susceptible,susceptible,trabajo,False
2,17,0,infeccioso,susceptible,trabajo,False
98,18,0,susceptible,susceptible,trabajo,False
2,18,0,infeccioso,susceptible,trabajo,False
98,19,0,susceptible,susceptible,trabajo,False
2,19,0,infeccioso,susceptible,trabajo,False
98,20,0,susceptible,susceptible,trabajo,False
2,20,0,infeccioso,susceptible,trabajo,False
98,21,0,susceptible,susceptible,trabajo,False
2,21,0,infeccioso,susceptible,trabajo,False
98,22,0,susceptible,susceptible,trabajo,False
2,22,0,infeccioso,susceptible,trabajo,False
98,23,0,susceptible,susceptible,trabajo,False
1,23,0,infeccioso,susceptible,trabajo,False
1,23,0,recuperado,susceptible,trabajo,False
98,24,0,susceptible,susceptible,trabajo,False
1,24,0,infeccioso,susceptible,trabajo,False
1,24,0,recuperado,susceptible,trabajo,False
98,25,0,susceptible,susceptible,trabajo,False
1,25,0,infeccioso,susceptible,trabajo,False
1,25,0,recuperado,susceptible,trabajo,False
98,26,0,susceptible,susceptible,trabajo,False
1,26,0,infeccioso,susceptible,trabajo,False
1,26,0,recuperado,susceptible,trabajo,False
97,27,0,susceptible,susceptible,trabajo,False
2,27,0,infeccioso,susceptible,trabajo,False
1,27,0,recuperado,susceptible,trabajo,False
97,28,0,susceptible,susceptible,trabajo,False
1,28,0,infeccioso,susceptible,trabajo,False
1,28,0,infeccioso,susceptible,trabajo,True
1,28,0,recuperado,susceptible,trabajo,False
96,29,0,susceptible,susceptible,trabajo,False
1,29,0,infeccioso,susceptible,trabajo,False
1,29,0,expuesto,susceptible,trabajo,False
1,29,0,infeccioso,susceptible,trabajo,True
1,29,0,recuperado,susceptible,trabajo,False
96,30,0,susceptible,susceptible,trabajo,False
1,30,0,infeccioso,susceptible,trabajo,False
1,30,0,expuesto,susceptible,trabajo,False
1,30,0,infeccioso,susceptible,trabajo,True
1,30,0,recuperado,susceptible,trabajo,False
96,31,0,susceptible,susceptible,trabajo,False
1,31,0,infeccioso,susceptible,trabajo,False
1,31,0,expuesto,susceptible,trabajo,False
1,31,0,infeccioso,susceptible,trabajo,True
1,31,0,recuperado,susceptible,trabajo,False
96,32,0,susceptible,susceptible,trabajo,False
1,32,0,infeccioso,susceptible,trabajo,False
