,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156
10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,6,6,7,7,7,7,7,8,8,8,8,8,8,9,10,10,10,10,12,13,13,15,16,18,20,20,20,23,24,24,25,25,27,28,30,32,33,34,35,36,38,39,40,42,43,43,45,46,46,47,47,47,47,49,51,52,53,54,56,56,58,58,59,60,60,60,60,60,61,62,63,64,64,65,66,69,69,69,70,70,70,70,71,72,72,72,72,72,72,72,73,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,76,76,76,76,77,77
14,14,1,2,2,3,3,3,4,4,5,7,8,8,8,8,9,9,9,9,9,9,10,10,12,13,14,16,18,18,20,20,23,23,25,25,26,28,30,33,33,35,37,38,39,41,42,44,45,46,48,48,48,50,52,53,54,56,58,61,61,61,61,62,64,66,67,70,70,71,72,73,73,73,73,73,73,73,74,74,74,74,77,77,78,79,79,80,80,80,80,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
15,15,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,6,6,6,6,7,7,7,7,7,7,7,7,7,8,9,9,9,10,12,12,13,13,13,14,14,14,14,14,14,14,14,14,15,15,15,15,16,17,18,18,19,19,20,20,21,21,21,21,21,22,23,25,25,26,26,27,28,29,31,31,33,35,36,36,36,37,41,43,44,46,47,47,47,49,49,50,52,55,55,56,56,56,58,58,59,59,61,61,61,62,62,63,64,65,67,67,68,69,69,69,69,69,70,70,70,71,71,72,72,72,72,73,73,73,73,73,73,73,73,73,73,73,74,74,74,74,75,75,75,75,75,75,76,76,76
16,16,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,5,5,5,6,7,7,9,10,10,10,12,12,13,13,13,13,14,17,18,19,19,20,22,22,22,22,22,23,23,25,25,25,25,27,28,29,29,30,30,30,32,33,33,35,35,36,37,38,39,40,42,42,42,43,44,44,46,48,49,49,51,51,52,54,55,56,56,57,58,58,59,59,59,61,61,63,64,64,65,66,67,67,68,68,68,69,69,69,70,71,72,72,72,73,73,73,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,77,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,7,8,9,11,12,12,12,12,12,12,12,13,13,14,15,16,16,17,18,20,21,21,21,21,22,25,27,27,28,30,30,31,33,34,36,38,39,42,43,43,45,47,50,54,54,56,58,59,60,60,60,60,61,63,66,66,68,68,70,72,73,73,74,74,74,74,75,76,78,79,79,79,79,79,80,80,80,80,80,81,82,83,83,83,84,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
19,19,1,1,1,1,1,1,2,2,3,4,6,7,7,7,8,10,10,10,11,12,12,14,14,15,17,20,21,21,21,23,23,24,24,26,27,31,34,34,34,36,36,39,41,42,44,47,49,53,53,54,55,58,59,60,61,62,63,65,65,67,68,69,71,71,71,71,73,74,74,75,75,75,76,76,76,76,77,78,79,80,81,81,81,81,81,81,81,81,81,81,81,82,82,83,83,83,83,83,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,84,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
