cantidad,tiempo,it,estado,estado_observado,actividad,sintomas
99,0,0,susceptible,susceptible,trabajo,False
1,0,0,infeccioso,susceptible,trabajo,False
99,1,0,susceptible,susceptible,trabajo,False
1,1,0,infeccioso,susceptible,trabajo,False
99,2,0,susceptible,susceptible,trabajo,False
1,2,0,infeccioso,susceptible,trabajo,False
99,3,0,susceptible,susceptible,trabajo,False
1,3,0,infeccioso,susceptible,trabajo,False
99,4,0,susceptible,susceptible,trabajo,False
1,4,0,infeccioso,susceptible,trabajo,False
99,5,0,susceptible,susceptible,trabajo,False
1,5,0,infeccioso,susceptible,trabajo,False
99,6,0,susceptible,susceptible,trabajo,False
1,6,0,infeccioso,susceptible,trabajo,False
99,7,0,susceptible,susceptible,trabajo,False
1,7,0,infeccioso,susceptible,trabajo,False
99,8,0,susceptible,susceptible,trabajo,False
1,8,0,infeccioso,susceptible,trabajo,False
99,9,0,susceptible,susceptible,trabajo,False
1,9,0,recuperado,susceptible,trabajo,False
99,10,0,susceptible,susceptible,trabajo,False
1,10,0,recuperado,susceptible,trabajo,False
99,11,0,susceptible,susceptible,trabajo,False
1,11,0,recuperado,susceptible,trabajo,False
99,12,0,susceptible,susceptible,trabajo,False
1,12,0,recuperado,susceptible,trabajo,False
99,13,0,susceptible,susceptible,trabajo,False
1,13,0,recuperado,susceptible,trabajo,False
99,14,0,susceptible,susceptible,trabajo,False
1,14,0,recuperado,susceptible,trabajo,False
99,15,0,susceptible,susceptible,trabajo,False
1,15,0,recuperado,susceptible,trabajo,False
99,16,0,susceptible,susceptible,trabajo,False
1,16,0,recuperado,susceptible,trabajo,False
99,17,0,susceptible,susceptible,trabajo,False
1,17,0,recuperado,susceptible,trabajo,False
99,18,0,susceptible,susceptible,trabajo,False
1,18,0,recuperado,susceptible,trabajo,False
99,19,0,susceptible,susceptible,trabajo,False
1,19,0,recuperado,susceptible,trabajo,False
99,20,0,susceptible,susceptible,trabajo,False
1,20,0,recuperado,susceptible,trabajo,False
99,21,0,susceptible,susceptible,trabajo,False
1,21,0,recuperado,susceptible,trabajo,False
99,22,0,susceptible,susceptible,trabajo,False
1,22,0,recuperado,susceptible,trabajo,False
99,23,0,susceptible,susceptible,trabajo,False
1,23,0,recuperado,susceptible,trabajo,False
99,24,0,susceptible,susceptible,trabajo,False
1,24,0,recuperado,susceptible,trabajo,False
99,25,0,susceptible,susceptible,trabajo,False
1,25,0,recuperado,susceptible,trabajo,False
99,26,0,susceptible,susceptible,trabajo,False
1,26,0,recuperado,susceptible,trabajo,False
99,27,0,susceptible,susceptible,trabajo,False
1,27,0,recuperado,susceptible,trabajo,False
99,28,0,susceptible,susceptible,trabajo,False
1,28,0,recuperado,susceptible,trabajo,False
99,29,0,susceptible,susceptible,trabajo,False
1,29,0,recuperado,susceptible,trabajo,False
99,30,0,susceptible,susceptible,trabajo,False
1,30,0,recuperado,susceptible,trabajo,False
99,31,0,susceptible,susceptible,trabajo,False
1,31,0,recuperado,susceptible,trabajo,False
99,32,0,susceptible,susceptible,trabajo,False
1,32,0,recuperado,susceptible,trabajo,False
99,33,0,susceptible,susceptible,trabajo,False
1,33,0,recuperado,susceptible,trabajo,False
99,34,0,susceptible,susceptible,trabajo,False
1,34,0,recuperado,susceptible,trabajo,False
99,35,0,susceptible,susceptible,trabajo,False
1,35,0,recuperado,susceptible,trabajo,False
99,36,0,susceptible,susceptible,trabajo,False
1,36,0,recuperado,susceptible,trabajo,False
99,37,0,susceptible,susceptible,trabajo,False
1,37,0,recuperado,susceptible,trabajo,False
99,38,0,susceptible,susceptible,trabajo,False
1,38,0,recuperado,susceptible,trabajo,False
99,39,0,susceptible,susceptible,trabajo,False
1,39,0,recuperado,susceptible,trabajo,False
99,40,0,susceptible,susceptible,trabajo,False
1,40,0,recuperado,susceptible,trabajo,False
99,41,0,susceptible,susceptible,trabajo,False
1,41,0,recuperado,susceptible,trabajo,False
